index,h(m) see level,lat,lon,yaw(degree),roll(degree),pitch(degree)
1,114.8915,49.2573355,-123.2430467,121.9259345,-0.608714372,-6.130241608
2,115.01439,49.2573355,-123.2430467,121.9259345,-0.608714372,-6.130241608
3,115.01439,49.2573208,-123.243012,121.9259345,-0.608714372,-6.130241608
4,115.01439,49.2573208,-123.243012,121.9552699,-0.64340754,-7.546243773
5,115.138,49.2573208,-123.243012,121.9552699,-0.64340754,-7.546243773
6,115.138,49.2573016,-123.2429637,121.9552699,-0.64340754,-7.546243773
7,115.138,49.2573016,-123.2429637,122.749504,0.817140948,-5.873957586
8,115.18416,49.2573016,-123.2429637,122.749504,0.817140948,-5.873957586
9,115.18416,49.2572704,-123.242891,122.749504,0.817140948,-5.873957586
10,115.18416,49.2572704,-123.242891,118.7029896,-1.28279578,-5.293634991
11,115.22521,49.2572704,-123.242891,118.7029896,-1.28279578,-5.293634991
12,115.22521,49.2572432,-123.2428277,118.7029896,-1.28279578,-5.293634991
13,115.22521,49.2572432,-123.2428277,117.7361806,-1.043294838,-6.715919066
14,115.17656,49.2572432,-123.2428277,117.7361806,-1.043294838,-6.715919066
15,115.17656,49.2572079,-123.2427418,117.7361806,-1.043294838,-6.715919066
16,115.17656,49.2572079,-123.2427418,119.5930222,-1.484351447,-6.666507186
17,115.18006,49.2572079,-123.2427418,119.5930222,-1.484351447,-6.666507186
18,115.18006,49.257175,-123.2426609,119.5930222,-1.484351447,-6.666507186
19,115.18006,49.257175,-123.2426609,119.9714608,-0.495249019,-4.387802468
20,115.0856,49.257175,-123.2426609,119.9714608,-0.495249019,-4.387802468
21,115.0856,49.257151,-123.2425955,119.9714608,-0.495249019,-4.387802468
22,115.0856,49.257151,-123.2425955,120.50265,-0.347175926,-6.555307537
23,114.96607,49.257151,-123.2425955,120.50265,-0.347175926,-6.555307537
24,114.96607,49.2571252,-123.2425313,120.50265,-0.347175926,-6.555307537
25,114.96607,49.2571252,-123.2425313,123.4814003,0.500156632,-6.183870457
26,114.90685,49.2571252,-123.2425313,123.4814003,0.500156632,-6.183870457
27,114.90685,49.2570944,-123.242463,123.4814003,0.500156632,-6.183870457
28,114.90685,49.2570944,-123.242463,122.8367655,-0.891795057,-5.773827482
29,114.92914,49.2570944,-123.242463,122.8367655,-0.891795057,-5.773827482
30,114.92914,49.2570647,-123.242397,122.8367655,-0.891795057,-5.773827482
31,114.92914,49.2570647,-123.242397,121.9599682,-0.928288458,-5.265907272
32,115.06904,49.2570647,-123.242397,121.9599682,-0.928288458,-5.265907272
33,115.06904,49.2570368,-123.2423303,121.9599682,-0.928288458,-5.265907272
34,115.06904,49.2570368,-123.2423303,121.2254936,0.370005086,-5.605388776
35,115.15148,49.2570368,-123.2423303,121.2254936,0.370005086,-5.605388776
36,115.15148,49.2570118,-123.2422659,121.2254936,0.370005086,-5.605388776
37,115.15148,49.2570118,-123.2422659,122.0487766,0.015053297,-5.833776056
38,115.32769,49.2570118,-123.2422659,122.0487766,0.015053297,-5.833776056
39,115.32769,49.2569874,-123.2422088,122.0487766,0.015053297,-5.833776056
40,115.32769,49.2569874,-123.2422088,121.2916702,-0.527479614,-5.261407261
41,115.45347,49.2569874,-123.2422088,121.2916702,-0.527479614,-5.261407261
42,115.45347,49.2569627,-123.2421524,121.2916702,-0.527479614,-5.261407261
43,115.45347,49.2569627,-123.2421524,120.9769445,-1.119246124,-5.348443561
44,115.51449,49.2569627,-123.2421524,120.9769445,-1.119246124,-5.348443561
45,115.51449,49.2569399,-123.2420954,120.9769445,-1.119246124,-5.348443561
46,115.51449,49.2569399,-123.2420954,121.2690384,0.109347219,10.43185404
47,115.45934,49.2569399,-123.2420954,121.2690384,0.109347219,10.43185404
48,115.45934,49.256922,-123.2420455,121.2690384,0.109347219,10.43185404
49,115.45934,49.256922,-123.2420455,121.2869146,1.440728159,15.09331834
